lat,lon,x,y,faa,height
-69.8716527,-62.1268907,-1952598.23,1032674.51,-5.15,8755.13
-69.9609697,-62.038788,-1942178.2,1030988.54,-7.54,8748.58
-70.0499425,-61.9483173,-1931761.76,1029372.17,-7.73,8747.58
-70.1384465,-61.854913,-1921351.22,1027849.83,-3.69,8739.51
-70.226757,-61.761649,-1910974.64,1026303.07,-5.72,8737.26
-69.3593541,-63.4639273,-2027507.34,1012472.18,41.83,9906.07
-69.2505977,-63.539432,-2039757.31,1015233.32,35.93,9911.73
-69.1420854,-63.6141858,-2051983.84,1017980.46,42.32,9916.6
-69.0337312,-63.6883613,-2064198.45,1020712.2,20.79,9914.75
-68.9255244,-63.7614504,-2076392.97,1023447.87,26.36,9918.78
-68.8175936,-63.8344438,-2088571.98,1026145.72,33.09,9926.03
-68.7096675,-63.9055579,-2100730.68,1028884.67,31.81,9933.13
-68.6020568,-63.976458,-2112867.39,1031589.16,29.54,9934.28
-68.4945859,-64.0461715,-2124982.15,1034304.12,20.85,9936.89
-68.3873874,-64.1150506,-2137067.7,1037010.68,14.32,9935.63
-68.2805445,-64.1835066,-2149122.86,1039689.92,9.83,9944.31
-68.1737901,-64.2505536,-2161156.58,1042392.45,8.84,9945.33
-68.0672826,-64.31718,-2173170.58,1045073.94,10.32,9949.86
-67.9609642,-64.383022,-2185163.93,1047751.4,14.0,9953.09
-67.8550074,-64.4488357,-2197132.78,1050387.98,16.02,9953.68
-67.7491743,-64.5135596,-2209081.69,1053036.25,16.54,9959.19
-67.6434991,-64.5769469,-2221002.45,1055704.82,17.8,9965.0
-67.5380058,-64.6392803,-2232897.57,1058382.37,14.04,9966.29
-67.4328178,-64.7015881,-2244773.31,1061023.36,14.97,9968.75
-67.3278571,-64.7633378,-2256627.65,1063652.6,26.65,9968.23
-67.223022,-64.8243106,-2268466.75,1066284.02,36.08,9969.53
-67.1182589,-64.884734,-2280300.19,1068911.64,42.35,9976.31
-67.0136291,-64.9442443,-2292114.78,1071547.42,46.05,9980.35
-66.9093582,-65.0039109,-2303907.3,1074138.17,73.31,9977.95
-66.8052586,-65.0617611,-2315659.82,1076772.54,103.71,9985.47
-66.7014555,-65.1190014,-2327381.92,1079396.71,118.1,9985.97
-66.5979297,-65.1764757,-2339091.35,1081977.58,111.93,9986.85
-66.494507,-65.2333237,-2350789.67,1084558.62,95.94,9987.37
-66.3911703,-65.2890691,-2362469.49,1087160.67,75.88,9990.25
-66.2879732,-65.3446091,-2374142.17,1089744.7,43.87,9992.81
-66.1848022,-65.3995504,-2385811.84,1092332.59,29.14,9989.67
-66.0817381,-65.4539417,-2397471.0,1094918.85,20.8,9995.49
-65.9787561,-65.508216,-2409130.41,1097486.8,18.46,9999.53
-65.8758221,-65.5616599,-2420779.84,1100068.25,17.37,9999.55
-65.7730304,-65.6146528,-2432416.72,1102643.18,15.8,9998.11
-65.6703733,-65.6668765,-2444035.61,1105225.82,20.25,9998.76
-65.5679567,-65.7191549,-2455641.34,1107776.4,25.81,10006.38
-65.465606,-65.7709303,-2467241.13,1110327.09,30.76,10013.07
-65.3632556,-65.8216516,-2478831.0,1112905.09,30.48,10010.08
-64.8645092,-63.8321737,-2489612.5,1223305.2,21.89,5450.28
-64.9483862,-63.7497241,-2479286.99,1222663.88,24.48,4931.57
-65.0333046,-63.6949702,-2469455.37,1220750.61,35.32,4397.53
-65.1183963,-63.6710693,-2460270.71,1217487.63,109.27,3905.98
-65.2003667,-63.6527609,-2451528.48,1214136.81,159.84,3524.59
-65.2753457,-63.6361447,-2443538.96,1211062.53,140.95,3454.84
-65.3417273,-63.6253228,-2436550.98,1208172.47,74.29,3324.79
-65.4041732,-63.6198334,-2430078.58,1205253.19,113.41,3148.02
-65.4665978,-63.6174969,-2423676.54,1202201.1,108.24,2872.59
-65.5291455,-63.6183563,-2417330.57,1199008.17,55.03,2708.67
-65.6726631,-62.9070021,-2387752.48,1221506.48,114.53,2512.43
-65.7400894,-62.921483,-2381247.8,1217419.63,37.2,2505.09
-65.8084962,-62.9495792,-2374932.07,1212722.06,65.15,2507.34
-65.879738,-62.9773417,-2368320.53,1207899.55,65.82,2302.09
-65.9558855,-63.0075164,-2361261.72,1202732.78,31.82,2046.75
-66.0359812,-63.0391704,-2353832.23,1197311.15,88.92,1824.97
-66.1135483,-63.0703933,-2346646.3,1192046.71,88.99,1682.45
-66.1866658,-63.0994966,-2339863.15,1187106.18,74.05,1637.5
-66.2526399,-63.1258281,-2333742.03,1182652.42,75.81,1630.64
-66.3141852,-63.1508021,-2328038.41,1178486.99,53.6,1626.18
